mode,schedule,run_count,median_n_f,mean_n_f,failure_rate,mean_checkpoint_accuracy,mean_total_tokens,subcritical_first_failure_rate
fresh_ground_truth,alternating,26,21.0,17.73076923076923,0.23076923076923078,0.9991987180769232,5810.7692307692305,0.23076923076923078
fresh_ground_truth,high_to_low,26,21.0,16.923076923076923,0.23076923076923078,0.9967948715384616,5810.7692307692305,0.23076923076923078
fresh_ground_truth,low_to_high,26,21.0,19.076923076923077,0.2692307692307692,0.9967948715384616,5810.7692307692305,0.2692307692307692
fresh_ground_truth,randomized,26,21.0,18.23076923076923,0.2692307692307692,0.9943910253846154,5810.7692307692305,0.2692307692307692
persistent_history,alternating,26,5.5,6.5,1.0,0.6185897430769232,5358.076923076923,0.9615384615384616
persistent_history,high_to_low,26,4.5,4.461538461538462,1.0,0.5785256411538462,5425.307692307692,1.0
persistent_history,low_to_high,26,10.0,8.653846153846153,1.0,0.6282051276923077,5240.0,0.9230769230769231
persistent_history,randomized,26,5.0,5.8076923076923075,1.0,0.5745192307692307,5371.538461538462,1.0
prose_summary,alternating,26,3.0,3.3076923076923075,1.0,0.5040064111538461,5294.7692307692305,0.4230769230769231
prose_summary,high_to_low,26,2.0,2.576923076923077,1.0,0.5400641030769231,5294.7692307692305,0.07692307692307693
prose_summary,low_to_high,26,5.0,4.538461538461538,1.0,0.5496794876923077,5294.7692307692305,1.0
prose_summary,randomized,26,2.0,2.6923076923076925,1.0,0.5288461538461539,5294.7692307692305,0.5769230769230769
receipt_ancestry,alternating,26,5.0,7.346153846153846,1.0,0.7395833323076922,5684.461538461538,0.9615384615384616
receipt_ancestry,high_to_low,26,4.0,5.8076923076923075,1.0,0.7355769230769231,5696.346153846154,1.0
receipt_ancestry,low_to_high,26,7.5,7.653846153846154,1.0,0.7275641026923078,5660.961538461538,1.0
receipt_ancestry,randomized,26,5.5,6.576923076923077,1.0,0.7451923076923077,5683.7692307692305,0.9615384615384616
